cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV_x,PONAV,POAV_y
MOF_net-upb_node1-N42_edge1-none,MOF_net-upb_node1-N42_edge1-none.cif,6.78829,3.84615,6.78324,2.12533,322.46,151.722,0.1102,0.051850771,0.1102,0.0,0.0518507,0.0,0.0518507,0.0,
MOF_net-upc_node1-N29_edge1-none,MOF_net-upc_node1-N29_edge1-none.cif,7.03579,5.92003,7.03579,1.68928,952.774,564.012,0.2973,0.175992139,0.2973,0.0,0.175992,0.0,0.175992,0.0,
MOF_net-upc_node1-N57_edge1-none,MOF_net-upc_node1-N57_edge1-none.cif,8.71645,4.22347,8.71645,1.74331,933.962,535.739,0.3084,0.176904853,0.3084,0.0,0.176904,0.0,0.176904,0.0,
MOF_net-upd_node1-N24_edge1-none,MOF_net-upd_node1-N24_edge1-none.cif,7.32974,5.62413,7.32299,0.79921,1947.15,2436.34,0.4411,0.551920021,0.4358,0.0053,0.545288,0.00663155,0.545288,100.678,
MOF_net-ure_node1-N42_edge1-E10,MOF_net-ure_node1-N42_edge1-E10.cif,6.44085,4.28222,6.17397,1.63643,718.491,439.061,0.1726,0.1054735,0.1726,0.0,0.105474,0.0,0.105474,0.0,
MOF_net-ure_node1-N42_edge1-E2,MOF_net-ure_node1-N42_edge1-E2.cif,7.01775,4.81787,6.70346,1.58686,770.774,485.724,0.1879,0.118409942,0.1879,0.0,0.11841,0.0,0.11841,0.0,
MOF_net-vba_node1-N29_edge1-none,MOF_net-vba_node1-N29_edge1-none.cif,5.04179,4.1698,4.75988,1.56602,662.72,423.189,0.2385,0.152296906,0.1549,0.0836,0.0989135,0.0533839,0.0989135,825.058,
MOF_net-vba_node1-N73_edge1-none,MOF_net-vba_node1-N73_edge1-none.cif,4.97349,4.26427,4.80571,1.76739,642.454,363.503,0.2104,0.119045598,0.1628,0.0476,0.092113,0.0269323,0.092113,573.671,
MOF_net-vbc_node1-N0_edge1-none,MOF_net-vbc_node1-N0_edge1-none.cif,7.83199,5.90866,7.83199,0.959241,1647.99,1718.02,0.4786,0.498936138,0.4786,0.0,0.498936,0.0,0.498936,0.0,
MOF_net-vbp_node1-N38_edge1-none,MOF_net-vbp_node1-N38_edge1-none.cif,6.69466,4.07254,6.69372,1.48934,1253.34,841.539,0.3221,0.216270294,0.3221,0.0,0.21627,0.0,0.21627,0.0,
