cif_name,name,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV
MOF_net-bcg_node1-N60_edge1-E2,MOF_net-bcg_node1-N60_edge1-E2.cif,5.0039,3.33271,5.0039,1.72841,0.0,0.0,0.1343,0.077701471,0.0,0.1343,0.0,0.0777014,0.0,651.206
MOF_net-bcs_node1-N39_edge1-none,MOF_net-bcs_node1-N39_edge1-none.cif,3.82602,2.54493,3.78684,1.74366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcs_node1-N53_edge1-none,MOF_net-bcs_node1-N53_edge1-none.cif,4.91595,3.15972,4.91595,1.78758,0.0,0.0,0.1427,0.079828595,0.0,0.1427,0.0,0.0798286,0.0,837.418
MOF_net-bcu-b_node1-N76_node2-N31_edge1-none,MOF_net-bcu-b_node1-N76_node2-N31_edge1-none.cif,3.69451,2.72568,3.68023,1.78972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu-b_node1-N76_node2-N76_edge1-none,MOF_net-bcu-b_node1-N76_node2-N76_edge1-none.cif,3.43187,1.25059,3.42831,1.76934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu-b_node1-N76_node2-N80_edge1-none,MOF_net-bcu-b_node1-N76_node2-N80_edge1-none.cif,5.24789,1.84202,3.77919,1.76096,0.0,0.0,0.1048,0.059512993,0.0,0.1048,0.0,0.059513,0.0,113.157
MOF_net-bcu-b_node1-N77_node2-N77_edge1-none,MOF_net-bcu-b_node1-N77_node2-N77_edge1-none.cif,3.68267,0.9641,3.67809,1.76374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOF_net-bcu-b_node1-N77_node2-N80_edge1-none,MOF_net-bcu-b_node1-N77_node2-N80_edge1-none.cif,5.31538,1.67829,3.97836,1.76199,0.0,0.0,0.1364,0.077412471,0.0,0.1364,0.0,0.0774124,0.0,147.191
MOF_net-bcu-b_node1-N80_node2-N31_edge1-none,MOF_net-bcu-b_node1-N80_node2-N31_edge1-none.cif,4.28572,3.28176,3.74667,1.78528,0.0,0.0,0.0361,0.020220918,0.0,0.0361,0.0,0.0202209,0.0,44.3292
MOF_net-bcu-b_node1-N80_node2-N77_edge1-none,MOF_net-bcu-b_node1-N80_node2-N77_edge1-none.cif,5.2981,3.69588,5.2981,1.76354,0.0,0.0,0.1897,0.107567733,0.0,0.1897,0.0,0.107567,0.0,204.528
