iter	RMSE	R2	MAE
0	3.094869712	0.1121422265	2.210643108
5	2.314678038	0.5033621782	1.564728056
10	1.764883337	0.7112708351	1.115026471
15	1.378912619	0.8237487852	0.8021874187
20	1.123534428	0.8829877191	0.5873311421
25	0.9384733848	0.9183600737	0.4387988034
30	0.8091535444	0.9393095307	0.3383482253
35	0.7055725709	0.9538531526	0.2697362497
40	0.6156309674	0.9648682673	0.2230174685
45	0.5473318938	0.9722310066	0.1920439966
50	0.492447693	0.9775209027	0.171159498
55	0.4467269557	0.9815012248	0.1564555806
60	0.4093878133	0.9844643831	0.1458064527
65	0.3798461136	0.9866256092	0.1371991432
70	0.3563766553	0.9882272717	0.1306502996
75	0.3391197937	0.989339809	0.125220431
80	0.3248648829	0.9902171771	0.1210263426
85	0.3132456637	0.9909044544	0.1175064459
90	0.3043080729	0.9914160809	0.1152744327
95	0.2959976286	0.9918785212	0.1130952035
100	0.2895238703	0.9922298862	0.1115015179
105	0.2838862055	0.9925295419	0.1102554621
110	0.2786658977	0.9928017607	0.1090877608
115	0.2737706412	0.9930524381	0.1080351585
120	0.2698081074	0.9932521004	0.1071774711
125	0.2659686438	0.9934427839	0.1065259
130	0.2627896705	0.9935985957	0.1058859385
135	0.2599949869	0.9937340257	0.1051561037
140	0.2572002	0.9938680132	0.1046729057
145	0.2546272382	0.993990085	0.1039597729
150	0.2523052222	0.9940991973	0.1034830378
155	0.2498308889	0.9942143667	0.1029582934
160	0.2475959794	0.9943174169	0.1024135701
165	0.2457004242	0.9944040936	0.1019502602
170	0.2433199929	0.9945119985	0.1015318281
175	0.2417071849	0.9945845098	0.1013124229
180	0.2395576169	0.9946804047	0.1006744312
185	0.2379993743	0.994749384	0.1002952217
190	0.2364549139	0.9948173089	0.09993375816
195	0.2346812465	0.994894769	0.09961205278
200	0.2330213511	0.9949667319	0.09924919133
205	0.2315806188	0.9950287787	0.09902885115
210	0.2302006225	0.9950878498	0.09883800282
215	0.228835004	0.9951459578	0.09850991616
220	0.2277836831	0.9951904562	0.09819077963
225	0.2266205066	0.9952394502	0.09805623723
230	0.2254672723	0.9952877782	0.09790787025
235	0.224337092	0.9953349021	0.09773775426
240	0.2229330138	0.9953931142	0.09737360385
245	0.2216897693	0.9954443542	0.09703413437
250	0.2208249297	0.9954798299	0.09686694125
255	0.2194557945	0.9955357064	0.09654017079
260	0.2185708307	0.9955716388	0.09623263494
265	0.2174330772	0.9956176218	0.09601038854
270	0.2165410523	0.995653505	0.095827628
275	0.2154881356	0.9956956719	0.09563281294
280	0.2144468222	0.9957371713	0.09539407325
285	0.2136346407	0.9957693995	0.09519889509
290	0.2128368465	0.995800938	0.09502738122
295	0.2120245451	0.9958329287	0.09484021824
300	0.2111298653	0.9958680223	0.09462978129
305	0.2102035052	0.9959042016	0.09447573197
310	0.2093002932	0.9959393243	0.09423866249
315	0.2085439863	0.9959686178	0.0940344979
320	0.2078285203	0.9959962314	0.09387736233
325	0.2070639665	0.996025635	0.09369781512
330	0.2064800908	0.996048017	0.09349992288
335	0.2056913628	0.9960781525	0.09335956199
340	0.2050308531	0.9961032986	0.09323463236
345	0.2044481972	0.9961254141	0.09311257112
350	0.2036235398	0.9961566086	0.09298246748
355	0.2029113358	0.9961834473	0.09282682965
360	0.2022136145	0.9962096492	0.09265655935
365	0.2015572116	0.9962342167	0.0925487221
370	0.200877359	0.9962595782	0.09240807074
375	0.2002967603	0.9962811686	0.09227984608
380	0.1997045196	0.9963031283	0.09211565752
385	0.1991226095	0.9963246409	0.09200583236
390	0.1984267765	0.9963502825	0.09184938666
395	0.1977925598	0.9963735759	0.091682248
400	0.1973092138	0.9963912784	0.09155454074
405	0.1967496552	0.9964117177	0.09134833377
410	0.1961686623	0.996432879	0.0911931498
415	0.1956346104	0.9964522744	0.09104214134
420	0.1949492015	0.9964770902	0.09089852174
425	0.1944825174	0.9964939367	0.09078040909
430	0.1940026277	0.9965112174	0.09067422389
435	0.1935822166	0.9965263221	0.09057545478
440	0.193161889	0.9965413909	0.09042888507
445	0.1926612373	0.9965592955	0.09032695709
450	0.1921410051	0.9965778518	0.09018858411
455	0.1917078056	0.9965932657	0.09004303106
460	0.1912015781	0.996611234	0.08989450976
465	0.1908231697	0.996624634	0.08976955289
470	0.1903164611	0.9966425362	0.08965610593
475	0.189860968	0.996658588	0.08955791775
480	0.1894345519	0.9966735802	0.08946639225
485	0.1890475591	0.9966871577	0.089314585
490	0.1886823307	0.9966999453	0.08921683253
495	0.1883050902	0.9967131285	0.08910646274
500	0.1878850653	0.996727775	0.08901532756
505	0.1875500935	0.9967394325	0.08892657968
510	0.1871492008	0.9967533566	0.0887755803
515	0.1867909395	0.9967657748	0.08868876587
520	0.1863715203	0.9967802828	0.08855913424
525	0.1860344575	0.996791918	0.0884652759
