name,data_type,net,KVRH,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,Di,Df,Dif,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,3_cycle_norm,4_cycle_norm,5_cycle_norm,6_cycle_norm,7_cycle_norm,8_cycle_norm,9_cycle_norm,10_cycle_norm,11_cycle_norm,12_cycle_norm,density
MOF_net-eea_node1-N83_node2-N49_edge1-E7,2inor_1edge,eea,8.782668006,136.6695,260.4753333,760.8592,486.0562667,6514.666667,9904.0,6874.666667,3424.0,15.66666667,41.33333333,82.0,62.66666667,154.0,506.6666667,540.6666667,296.0,11.67936667,35.99973333,53.9078,40.29906667,1.79142,28.234,13.61288,30.88328,3472.0,2697.6,950.4,1804.8,1.0,6.4,4.4,8.0,46.0,117.6,87.6,132.8,2.31526,7.39036,5.6852,8.95736,0.0,-12.312,-4.38,-12.6,0.0,316.0,117.6,233.6,0.0,0.0,0.0,0.0,0.0,30.0,12.0,27.6,0.0,5.292,2.604,5.832,300.1944,632.706,1042.0204,1276.357,1140.0,2496.0,3736.0,4348.0,48.0,100.0,168.0,206.0,268.0,660.0,952.0,1182.0,19.0992,46.7236,70.9288,87.7886,10.76738,11.8269,19.08548,18.8802,58.4,64.8,104.0,93.6,1.0,1.4,2.0,2.4,2.6,5.4,6.8,9.6,0.5449,0.7931,1.11316,1.25048,48.01,97.406,121.46,167.2721372,0.0,0.356,0.712,1.564,0.0,0.8,1.6,5.2,0.0,0.0,0.0,0.0,0.0,-0.8,-1.6,-2.4,0.0,-0.016,-0.032,0.096,0.0,-2.4,-4.8,-6.882844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.77538,29.55659,46.77538,775.377,5961.27,0.8991,6.912484912,0.8991,0.0,6.91249,0.0,287552.0,0.0,0.0,0.333333333,0.0,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.166666667,0.130069
MOF_net-gar_node1-N55_node2-N69_edge1-E7,2inor_1edge,gar,2.305520319,124.44014,209.23248,536.37104,531.63712,4687.2,7603.2,6694.4,6144.0,14.2,32.0,56.8,65.6,100.0,284.8,315.2,310.4,10.4179,27.39392,38.85688,41.27568,2.0173,25.89702857,16.10142857,37.20211429,2874.857143,2448.0,1440.0,3284.571429,1.0,5.714285714,4.571428571,9.142857143,34.85714286,77.71428571,80.57142857,131.4285714,2.329128571,6.553942857,5.4032,10.56388571,0.0,-11.44,-5.342857143,-14.24571429,0.0,270.8571429,212.5714286,417.1428571,0.0,0.0,0.0,0.0,0.0,22.28571429,13.14285714,32.0,0.0,4.731428571,3.497142857,7.154285714,261.2777333,542.096,895.4804,1078.320333,993.3333333,2128.0,3192.0,3721.333333,41.33333333,85.33333333,144.0,172.6666667,229.3333333,560.0,800.0,999.3333333,16.36253333,39.6704,59.98453333,74.16926667,11.38934167,10.044875,19.97221667,18.10075,61.66666667,55.0,108.6666667,95.0,1.0,1.166666667,2.0,2.166666667,1.666666667,4.0,5.166666667,7.5,0.5379,0.65835,1.102566667,1.176816667,36.39,75.52166667,101.93,139.5683905,0.0,0.6675,0.815833333,1.69,0.0,1.5,1.833333333,4.5,0.0,0.0,0.0,0.0,0.0,-1.5,-1.833333333,-3.333333333,0.0,-0.03,-0.036666667,-0.006666667,0.0,-4.5,-5.5,-9.867851667,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,19.37957,14.09791,19.37957,1734.17,5516.27,0.7372,2.344985097,0.7372,0.0,2.34498,0.0,146612.0,0.0,0.0,0.476190476,0.0,0.0,0.0,0.523809524,0.0,0.0,0.0,0.0,0.314373
MOF_net-soc_node1-N24_node2-N45_edge1-E1,2inor_1edge,soc,1.40381821,237.62908,486.2648,1334.45096,1678.9448,5002.6,10820.0,16427.6,16731.2,33.0,77.6,165.6,234.4,259.2,812.8,1348.4,1710.4,18.77268,53.93144,101.5332,134.77544,2.238571429,31.11371429,27.57571429,61.05485714,2774.714286,3195.714286,4867.428571,5252.285714,1.0,7.428571429,8.285714286,16.57142857,64.0,165.7142857,242.2857143,338.2857143,2.428971429,8.835428571,10.998,18.23314286,0.0,-14.70285714,-9.128571429,-23.2,0.0,364.8571429,362.5714286,797.4285714,0.0,0.0,0.0,0.0,0.0,44.85714286,38.57142857,94.85714286,0.0,6.48,6.248571429,14.86857143,382.8432333,846.107,1351.6794,1734.822833,1523.833333,3532.0,5161.0,5688.333333,61.83333333,133.3333333,214.0,285.6666667,347.3333333,884.0,1310.0,1516.333333,26.03858333,64.7262,98.26353333,117.4943667,10.75080714,11.68628571,22.64631667,20.71563333,57.9375,63.75,111.2470238,101.4136905,1.0,1.413690476,2.541666667,2.571428571,2.383928571,6.294642857,8.821428571,10.11309524,0.545202381,0.805177083,1.308985714,1.34174881,42.42741071,102.3625298,142.9570544,167.6954296,0.0,0.723660714,1.193095238,1.720982143,0.0,1.571428571,4.264880952,5.526785714,0.0,0.0,0.0,0.0,0.0,-1.571428571,-1.601190476,-2.630952381,0.0,-0.031428571,0.114107143,0.096309524,0.0,-5.201785714,-4.963252202,-8.309488958,9.032228571,13.72628571,28.49108571,22.76228571,48.42857143,74.57142857,129.0,86.14285714,0.857142857,1.714285714,3.428571429,3.0,4.285714286,12.85714286,18.42857143,14.14285714,0.469457143,0.9834,1.690714286,1.333585714,35.50714286,133.1785714,197.2736691,165.8905037,0.0,1.011428571,1.731428571,2.262857143,0.0,2.142857143,7.285714286,10.28571429,0.0,0.0,0.0,0.0,0.0,-0.857142857,1.285714286,0.857142857,0.0,-0.042857143,0.282857143,0.437142857,0.0,-7.585714286,-5.106094286,-4.766284286,27.29554,20.15356,27.11472,1286.24,5400.68,0.8006,3.361577414,0.8006,0.0,3.36158,0.0,169963.0,0.0,0.0,0.476190476,0.0,0.095238095,0.0,0.428571429,0.0,0.0,0.0,0.0,0.238162
MOF_net-gar_node1-N18_node2-N43_edge1-E7,2inor_1edge,gar,16.15194862,252.2539,528.642285,1487.35777,1719.855555,5361.0,12020.2,18073.5,18068.25,32.8,81.25,173.9,235.1,275.95,868.7,1413.9,1704.7,19.36428,58.156445,107.71073,139.20879,2.69664,33.16224,23.78004,50.39892,2075.8,2528.8,3798.4,3917.0,1.0,6.7,6.7,12.2,53.5,133.7,188.5,253.9,2.095,7.47234,8.8171,13.67636,0.0,-12.496,-6.267,-17.375,0.0,276.9,252.9,547.2,0.0,0.0,0.0,0.0,0.0,37.1,28.8,66.7,0.0,5.239,4.341,9.918,255.037905,530.4989703,875.1564198,1053.833891,970.7920792,2086.811881,3125.663366,3632.950495,40.37623762,83.48514851,140.6336634,168.7722772,224.1188119,547.7227723,782.7722772,973.4257426,16.01463564,38.86533069,58.7471802,72.40729307,11.15868,10.60654286,21.50533714,21.01742857,60.25714286,57.94285714,112.7142857,107.6,1.0,1.257142857,2.285714286,2.542857143,1.885714286,4.971428571,7.085714286,9.6,0.540557143,0.7128,1.230902857,1.36718,37.59142857,85.94457143,125.5789449,164.6624126,0.0,0.750285714,1.042,1.794,0.0,1.657142857,2.885714286,5.057142857,0.0,0.0,0.0,0.0,0.0,-1.657142857,-1.885714286,-3.257142857,0.0,-0.033142857,0.013714286,0.027428571,0.0,-5.228571429,-6.058158571,-10.08182829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32515,13.33117,18.32515,1731.12,4452.54,0.6803,1.749774301,0.6803,0.0,1.74977,0.0,129325.0,0.0,0.0,0.476190476,0.0,0.0,0.0,0.523809524,0.0,0.0,0.0,0.0,0.388793
MOF_net-myd_node1-N57_node2-N28_edge1-E15,2inor_1edge,myd,1.061460253,143.92108,264.0,536.79184,673.7664,2552.8,5078.4,5920.0,7027.2,16.4,36.8,59.2,83.2,96.0,238.4,324.8,396.8,11.46564,27.7144,40.87248,53.17248,2.7225,24.7104,20.196,45.804,900.0,1044.0,864.0,1848.0,1.0,4.4,4.8,9.6,19.6,41.2,64.8,104.0,1.7161,4.2182,4.84176,9.05472,0.0,-7.716,-4.32,-11.92,0.0,97.2,115.2,226.4,0.0,0.0,0.0,0.0,0.0,10.4,7.2,20.0,0.0,2.544,2.592,5.664,278.1442,592.756,957.5986667,1189.673667,1087.0,2408.0,3538.666667,3958.666667,44.33333333,93.33333333,152.6666667,193.3333333,246.0,612.0,886.0,1054.0,18.1711,44.43413333,66.94966667,80.7832,11.5456,9.52,21.52497778,17.94222222,62.33333333,52.0,110.4444444,91.55555556,1.0,1.111111111,2.222222222,2.111111111,1.333333333,4.0,5.333333333,6.444444444,0.536188889,0.627977778,1.163333333,1.125122222,31.05333333,71.81777778,104.1983587,123.1739142,0.0,0.9,1.086666667,1.823333333,0.0,2.0,3.333333333,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.777777778,-3.444444444,0.0,-0.04,0.044444444,0.011111111,0.0,-6.2,-5.557135556,-10.45713556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.45867,27.02567,32.45867,1011.05,6778.4,0.8874,5.949435829,0.8874,0.0,5.94943,0.0,194528.0,0.0,0.0,0.571428571,0.0,0.095238095,0.0,0.333333333,0.0,0.0,0.0,0.0,0.149157
MOF_net-ibd_node1-N42_node2-N61_edge1-E14,2inor_1edge,ibd,5.444214029,235.79044,478.1592,1094.94816,1239.26148,2414.8,6295.2,9950.4,11182.8,30.4,73.2,133.2,176.4,211.2,584.4,961.2,1135.2,19.56244,53.18988,89.697,111.06012,2.12605,26.049,20.856225,49.910975,533.0,957.5,1418.0,1786.5,1.0,5.25,6.25,11.5,27.75,63.25,114.25,144.25,2.41105,5.906825,9.417375,13.07945,0.0,-10.1975,-5.13,-17.8275,0.0,79.75,82.25,185.0,0.0,0.0,0.0,0.0,0.0,15.75,10.5,31.75,0.0,4.23,3.565,9.43,172.8876,342.567,531.5564,620.5462,792.0,1584.0,2300.0,2386.0,24.0,50.0,76.0,92.0,126.0,306.0,420.0,434.0,11.1928,25.5794,36.9676,40.8668,11.5456,9.52,21.6432,19.94862222,62.33333333,52.0,114.3333333,105.5555556,1.0,1.111111111,2.222222222,2.333333333,1.333333333,4.0,5.777777778,8.0,0.536188889,0.627977778,1.196666667,1.285122222,31.05333333,71.81777778,109.7836238,144.1347349,0.0,0.9,1.047777778,1.838888889,0.0,2.0,2.777777778,4.555555556,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.777777778,0.0,-0.04,-4.52e-17,-0.035555556,0.0,-6.2,-6.311901111,-11.64523444,8.214755556,13.78133333,26.61688889,34.83164444,43.55555556,74.66666667,118.2222222,161.7777778,0.888888889,1.777777778,3.555555556,4.444444444,3.555555556,10.66666667,17.77777778,21.33333333,0.5,1.026666667,1.786666667,2.286666667,48.67555556,148.6577778,252.6334347,301.3089902,0.0,0.871111111,2.053333333,2.053333333,0.0,1.777777778,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-1.777777778,-1.777777778,-1.777777778,0.0,-0.035555556,0.284444444,0.284444444,0.0,-6.933333333,-7.828542222,-7.828542222,12.46328,8.66642,12.46328,2284.85,4915.38,0.6558,1.41082016,0.6558,0.0,1.41082,0.0,76434.0,0.0,0.0,0.238095238,0.0,0.619047619,0.0,0.142857143,0.0,0.0,0.0,0.0,0.464836
MOF_net-iac_node1-N73_node2-N81_edge1-E5,2inor_1edge,iac,4.303898549,157.33132,296.88576,567.29928,570.32448,5017.6,7680.0,10732.8,10828.8,17.6,41.6,62.4,76.8,108.8,281.6,412.8,460.8,13.54916,33.4048,47.86824,57.01008,2.779757143,22.93988571,17.42078571,46.92758571,1501.714286,1206.857143,2221.714286,2242.285714,1.0,4.0,4.714285714,9.0,16.0,36.57142857,63.42857143,84.0,1.919371429,4.037942857,6.136285714,9.038571429,0.0,-7.091428571,-2.648571429,-13.35428571,0.0,118.8571429,95.14285714,242.5714286,0.0,0.0,0.0,0.0,0.0,6.857142857,3.0,15.0,0.0,2.611428571,1.838571429,5.464285714,154.4044,306.561,486.2404,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331,34.8104,39.91,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30301,11.429,16.68378,1875.42,4467.49,0.7511,1.789219423,0.7511,0.0,1.78922,0.0,90313.3,0.0,0.0,0.444444444,0.0,0.555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.419792
MOF_net-myd_node1-N41_node2-N28_edge1-E7,2inor_1edge,myd,6.215868361,150.4552,278.07744,551.39512,924.7872,1952.2,4279.2,6437.2,6364.8,19.4,39.2,70.0,116.8,109.2,296.0,426.8,420.8,12.67188,28.25776,49.32204,69.38352,3.070457143,30.53622857,39.08057143,71.51142857,826.7142857,1154.571429,1450.285714,2357.142857,1.0,5.428571429,8.571428571,15.42857143,29.71428571,77.71428571,144.0,208.5714286,1.661028571,5.177257143,8.448,13.65017143,0.0,-7.868571429,-6.531428571,-12.94857143,0.0,114.8571429,190.2857143,354.2857143,0.0,0.0,0.0,0.0,0.0,15.71428571,22.28571429,48.28571429,0.0,2.957142857,4.371428571,9.137142857,405.2742,900.0933333,1481.412622,1791.266222,1502.0,3546.666667,5286.222222,6040.888889,67.11111111,143.1111111,240.8888889,291.1111111,384.0,952.0,1386.666667,1698.666667,26.63853333,67.06871111,102.5616889,124.2825333,10.33262041,12.67037755,25.9092483,23.35040816,55.31377551,68.84693878,120.7380952,93.05102041,1.0,1.579081633,3.158163265,3.06037415,2.737244898,8.211734694,12.39285714,11.20408163,0.550040816,0.9054375,1.595522959,1.406952806,43.53410714,122.0544133,196.6990993,177.7138608,0.0,0.942117347,1.746522109,2.24167517,0.0,2.0,6.542517007,9.693027211,0.0,0.0,0.0,0.0,0.0,-2.0,-1.56377551,-1.585884354,0.0,-0.04,0.207585034,0.385221088,0.0,-7.042346939,-6.961275136,-5.836040663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.96448,20.79064,25.96448,1314.45,5883.37,0.8117,3.633100287,0.8117,0.0,3.6331,0.0,120271.0,0.0,0.0,0.571428571,0.0,0.095238095,0.0,0.333333333,0.0,0.0,0.0,0.0,0.223418
MOF_net-gar_node1-N18_node2-N46_edge1-E15,2inor_1edge,gar,7.974419564,247.5329,505.713535,1328.43643,1593.766505,5449.4,11265.4,14089.3,14649.65,32.0,77.75,157.7,215.7,251.45,751.7,1144.6,1345.8,19.0454,55.196015,97.31131,124.1059,2.60464,30.34024,22.28604,42.85892,2127.4,2351.2,2181.6,3237.8,1.0,6.3,6.3,10.6,45.9,108.9,137.7,189.9,2.08152,6.95226,7.64694,11.60292,0.0,-11.96,-6.627,-15.107,0.0,258.1,256.5,462.4,0.0,0.0,0.0,0.0,0.0,31.1,25.2,49.1,0.0,4.819,4.305,8.35,276.9539301,586.7812427,948.9183534,1183.229237,1096.601942,2406.990291,3559.495146,3987.728155,43.74757282,92.11650485,150.5631068,191.5533981,242.6796117,604.6601942,877.0097087,1040.194175,18.09535728,44.0912466,66.5724466,80.42153204,11.15868,10.60654286,21.50533714,21.01742857,60.25714286,57.94285714,112.7142857,107.6,1.0,1.257142857,2.285714286,2.542857143,1.885714286,4.971428571,7.085714286,9.6,0.540557143,0.7128,1.230902857,1.36718,37.59142857,85.94457143,125.5789449,164.6624126,0.0,0.750285714,1.042,1.794,0.0,1.657142857,2.885714286,5.057142857,0.0,0.0,0.0,0.0,0.0,-1.657142857,-1.885714286,-3.257142857,0.0,-0.033142857,0.013714286,0.027428571,0.0,-5.228571429,-6.058158571,-10.08182829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.58883,19.76055,25.8618,1180.25,5775.3,0.8364,4.092737397,0.8364,0.0,4.09275,0.0,334204.0,0.0,0.0,0.476190476,0.0,0.0,0.0,0.523809524,0.0,0.0,0.0,0.0,0.204362
MOF_net-myd_node1-N57_node2-N39_edge1-E1,2inor_1edge,myd,1.205392102,144.5706,270.1824,542.42224,678.83008,2416.0,4891.2,5747.2,6873.6,16.4,36.8,59.2,83.2,96.0,238.4,324.8,396.8,11.36284,27.4208,40.50288,52.93888,3.04726,26.256,21.6036,49.2508,831.6,997.2,820.8,1774.8,1.0,4.4,4.8,9.6,19.6,41.2,64.8,104.0,1.6647,4.1448,4.74936,8.87904,0.0,-7.256,-3.768,-11.012,0.0,91.2,108.0,211.6,0.0,0.0,0.0,0.0,0.0,10.4,7.2,20.0,0.0,2.444,2.472,5.432,359.6614,788.12,1257.793067,1615.235333,1443.0,3304.0,4832.666667,5343.333333,57.66666667,124.0,198.6666667,265.3333333,322.6666667,820.0,1212.0,1404.0,24.3943,60.32693333,91.43106667,109.4682667,11.5456,9.52,21.69048889,17.19911111,62.33333333,52.0,111.2222222,90.77777778,1.0,1.111111111,2.222222222,2.0,1.333333333,4.0,5.333333333,6.222222222,0.536188889,0.627977778,1.161666667,1.094288889,31.05333333,71.81777778,100.991692,119.4680682,0.0,0.9,1.032222222,1.73,0.0,2.0,3.222222222,4.333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-1.777777778,-3.555555556,0.0,-0.04,0.046666667,-0.031111111,0.0,-6.2,-5.123802222,-10.77856778,3.080533333,7.752,15.2912,11.856,16.33333333,42.0,63.0,35.0,0.333333333,1.0,2.0,1.666666667,3.0,9.0,13.0,9.0,0.1875,0.5775,0.95,0.6625,18.25333333,83.62,124.1084093,89.09928067,0.0,0.49,1.05,1.166666667,0.0,1.0,5.0,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.666666667,2.0,0.0,-0.02,0.233333333,0.366666667,0.0,-3.9,-1.971406667,0.29289,30.38034,24.78945,29.7025,1177.38,5919.01,0.8276,4.160571098,0.8276,0.0,4.16057,0.0,175274.0,0.0,0.0,0.571428571,0.0,0.095238095,0.0,0.333333333,0.0,0.0,0.0,0.0,0.198915
