name,source_folder,rho,POAV,Porosity
MOF_net-anh_node1-N21_node2-orgN5_edge1-E7,descriptors_1,0.196572,4.44671,0.8741
MOF_net-anh_node1-N21_node2-orgN8_edge1-E0,descriptors_1,0.233004,3.68963,0.8597
MOF_net-anh_node1-N21_node2-orgN8_edge1-E10,descriptors_1,0.467797,1.62955,0.7623
MOF_net-anh_node1-N21_node2-orgN8_edge1-E7,descriptors_1,0.23749,3.54205,0.8412
MOF_net-anh_node1-N21_node2-orgN9_edge1-E0,descriptors_1,0.209503,4.1842,0.8766
MOF_net-anh_node1-N21_node2-orgN9_edge1-E1,descriptors_1,0.15737,5.66117,0.8909
MOF_net-anh_node1-N21_node2-orgN9_edge1-E14,descriptors_1,0.185293,4.89496,0.907
MOF_net-anh_node1-N21_node2-orgN9_edge1-E2,descriptors_1,0.399267,2.00993,0.8025
MOF_net-anh_node1-N21_node2-orgN9_edge1-E5,descriptors_1,0.242478,3.61353,0.8762
MOF_net-anh_node1-N21_node2-orgN9_edge1-E7,descriptors_1,0.21385,4.01451,0.8585
MOF_net-anh_node1-N21_node2-orgN9_edge1-E8,descriptors_1,0.176198,5.15101,0.9076
MOF_net-anh_node1-N30_node2-N66_edge1-E0,descriptors_1,0.208636,4.27299,0.8915
MOF_net-anh_node1-N30_node2-N66_edge1-E1,descriptors_1,0.151373,5.96936,0.9036
MOF_net-anh_node1-N30_node2-N66_edge1-E13,descriptors_1,0.116141,8.13324,0.9446
MOF_net-anh_node1-N30_node2-N66_edge1-E14,descriptors_1,0.189558,4.84759,0.9189
MOF_net-anh_node1-N30_node2-N66_edge1-E2,descriptors_1,0.390525,2.14173,0.8364
MOF_net-anh_node1-N30_node2-N66_edge1-E5,descriptors_1,0.247725,3.60158,0.8922
MOF_net-anh_node1-N30_node2-N66_edge1-none,descriptors_1,0.827234,0.824434,0.682
MOF_net-anh_node1-N30_node2-N83_edge1-E10,descriptors_1,0.219217,4.10096,0.899
MOF_net-anh_node1-N30_node2-N83_edge1-E13,descriptors_1,0.0812736,11.8095,0.9598
MOF_net-anh_node1-N30_node2-N83_edge1-E8,descriptors_1,0.117133,8.06262,0.9444
MOF_net-anh_node1-N30_node2-orgN14_edge1-E10,descriptors_1,0.217988,4.03967,0.8806
MOF_net-anh_node1-N30_node2-orgN14_edge1-E14,descriptors_1,0.116576,8.05139,0.9386
MOF_net-anh_node1-N30_node2-orgN14_edge1-E2,descriptors_1,0.212951,4.16151,0.8862
MOF_net-anh_node1-N30_node2-orgN14_edge1-E3,descriptors_1,0.18229,4.93992,0.9005
MOF_net-anh_node1-N30_node2-orgN17_edge1-E0,descriptors_1,0.131679,6.97451,0.9184
MOF_net-anh_node1-N30_node2-orgN17_edge1-E1,descriptors_1,0.104825,8.8147,0.924
MOF_net-anh_node1-N30_node2-orgN17_edge1-E14,descriptors_1,0.119208,7.83417,0.9339
MOF_net-anh_node1-N30_node2-orgN17_edge1-E15,descriptors_1,0.0832901,11.3699,0.947
MOF_net-anh_node1-N30_node2-orgN17_edge1-E2,descriptors_1,0.218872,4.03387,0.8829
MOF_net-anh_node1-N30_node2-orgN22_edge1-E0,descriptors_1,0.198027,4.44787,0.8808
MOF_net-anh_node1-N30_node2-orgN22_edge1-E1,descriptors_1,0.14923,6.00549,0.8962
MOF_net-anh_node1-N30_node2-orgN22_edge1-E10,descriptors_1,0.385687,2.07811,0.8015
MOF_net-anh_node1-N30_node2-orgN22_edge1-E14,descriptors_1,0.175623,5.16847,0.9077
MOF_net-anh_node1-N30_node2-orgN22_edge1-E7,descriptors_1,0.202005,4.29248,0.8671
MOF_net-anh_node1-N30_node2-orgN23_edge1-E1,descriptors_1,0.148008,6.03413,0.8931
MOF_net-anh_node1-N30_node2-orgN23_edge1-E10,descriptors_1,0.374113,2.16673,0.8106
MOF_net-anh_node1-N30_node2-orgN23_edge1-E5,descriptors_1,0.226483,3.87359,0.8773
MOF_net-anh_node1-N30_node2-orgN26_edge1-E0,descriptors_1,0.143999,6.29102,0.9059
MOF_net-anh_node1-N30_node2-orgN26_edge1-E1,descriptors_1,0.111547,8.21447,0.9163
MOF_net-anh_node1-N30_node2-orgN26_edge1-E10,descriptors_1,0.24833,3.46193,0.8597
MOF_net-anh_node1-N30_node2-orgN26_edge1-E13,descriptors_1,0.0863916,10.986,0.9491
MOF_net-anh_node1-N30_node2-orgN26_edge1-E15,descriptors_1,0.090044,10.4327,0.9394
