cif_name,Di,Df,Dif,rho_x,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,rho_y
MOF_net-bcu_node1-N9_edge1-none,3.71119,1.83192,3.71119,1.89785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-bsn_node1-N28_edge1-none,3.68687,2.75948,3.53441,1.48301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-cab_node1-N0_edge1-none,6.87837,2.5036,3.45616,1.77764,0.0,0.0,0.1257,0.07071173,0.0,0.1257,0.0,0.0707115,0.0,298.785,
MOF_net-cag_node1-N4_edge1-none,4.77015,2.98283,4.77015,1.39076,0.0,0.0,0.0497,0.035735857,0.0,0.0497,0.0,0.0357358,0.0,594.649,
MOF_net-can_node1-N42_edge1-none,6.48372,4.71505,5.56314,1.3755,177.389,128.964,0.292,0.212286441,0.0501,0.2419,0.0364232,0.175864,338.304,1633.45,
MOF_net-cbo_node1-N42_edge1-none,6.57002,3.29905,6.56062,1.48819,0.0,0.0,0.1664,0.11181368,0.0,0.1664,0.0,0.111814,0.0,2077.09,
MOF_net-cbo_node1-N4_edge1-none,5.53377,2.89912,5.52607,1.27874,0.0,0.0,0.1561,0.122073291,0.0,0.1561,0.0,0.122073,0.0,3046.98,
MOF_net-cdl_node1-N54_edge1-none,5.95582,3.98363,5.88924,0.846433,537.636,635.178,0.4112,0.485803365,0.2191,0.1921,0.258851,0.226952,344.452,302.005,
MOF_net-cds_node1-N24_edge1-none,6.25409,5.57213,6.08777,0.958562,1455.86,1518.79,0.443,0.462150596,0.443,0.0,0.46215,0.0,438.512,0.0,
MOF_net-cds_node1-N41_edge1-none,6.26699,5.30452,6.25483,0.986065,1337.16,1356.06,0.4069,0.412650282,0.4069,0.0,0.41265,0.0,711.853,0.0,
MOF_net-cds_node1-N54_edge1-none,5.91706,3.25388,5.8279,0.846574,0.0,0.0,0.3979,0.470012072,0.0,0.3979,0.0,0.470012,0.0,312.722,
MOF_net-cds_node1-N57_edge1-none,4.36449,2.43579,4.36282,1.78543,0.0,0.0,0.2465,0.138061979,0.0,0.2465,0.0,0.138062,0.0,140.68,
MOF_net-cor_node1-N29_node2-N52_edge1-none,6.03025,5.32228,6.03025,1.43597,1698.3,1182.68,0.4294,0.299031317,0.4294,0.0,0.299031,0.0,5341.94,0.0,
MOF_net-cor_node1-N78_node2-N52_edge1-none,6.17338,4.98463,6.15588,1.52952,1800.03,1176.86,0.4278,0.279695591,0.4278,0.0,0.279695,0.0,5129.97,0.0,
MOF_net-crb_node1-N42_edge1-none,7.26447,3.28089,7.26447,1.49019,0.0,0.0,0.2549,0.171052014,0.0,0.2549,0.0,0.171051,0.0,1059.17,
MOF_net-crb_node1-N4_edge1-none,4.69265,2.77044,4.22526,1.37798,0.0,0.0,0.0511,0.037083267,0.0,0.0511,0.0,0.0370834,0.0,308.537,
MOF_net-crs_node1-N39_edge1-none,6.45623,4.43952,6.45076,1.22939,1529.71,1244.28,0.3729,0.303321159,0.3729,0.0,0.303321,0.0,3449.53,0.0,
MOF_net-ctn_node1-N42_node2-orgN9_edge1-none,6.76764,3.77403,6.76763,1.29604,662.978,511.541,0.1923,0.14837505,0.1832,0.0091,0.141354,0.00702138,1594.92,79.2237,
MOF_net-dia_node1-N42_edge1-none,5.02119,2.87213,5.02119,1.57351,0.0,0.0,0.1721,0.109373312,0.0,0.1721,0.0,0.109373,0.0,677.251,
MOF_net-dmp_node1-N10_edge1-none,5.50346,3.66208,5.50149,1.31392,0.0,0.0,0.2988,0.227411106,0.0,0.2988,0.0,0.22741,0.0,339.327,
MOF_net-dmp_node1-N18_edge1-none,2.91247,2.47625,2.91247,2.02395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-dmp_node1-N24_edge1-E10,6.24288,5.48422,6.06767,1.35346,1102.7,814.725,0.3177,0.234731725,0.3177,0.0,0.234732,0.0,870.026,0.0,
MOF_net-dmp_node1-N55_edge1-none,4.53439,3.95195,4.51811,1.42712,390.322,273.503,0.2082,0.145888222,0.2082,0.0,0.145888,0.0,233.944,0.0,
MOF_net-ecc_node1-N5_edge1-none,5.36677,3.00322,4.95034,2.06704,0.0,0.0,0.0498,0.024092422,0.0,0.0498,0.0,0.0240924,0.0,434.265,
MOF_net-ecf_node1-N5_edge1-none,6.85759,4.28428,6.77607,1.32839,1238.64,932.439,0.3236,0.243603159,0.3236,0.0,0.243604,0.0,1463.65,0.0,
MOF_net-ech_node1-N22_edge1-none,11.6292,5.0639,11.62912,1.19055,1575.46,1323.3,0.4605,0.386796019,0.4605,0.0,0.386797,0.0,9585.32,0.0,
MOF_net-ech_node1-N5_edge1-none,10.15757,4.59836,10.14542,1.27105,1321.09,1039.37,0.3275,0.257660989,0.3275,0.0,0.257662,0.0,6192.46,0.0,
MOF_net-ech_node1-N76_edge1-none,7.93753,3.46738,7.93753,1.41295,0.0,0.0,0.1736,0.122863513,0.0,0.1736,0.0,0.122863,0.0,2475.63,
MOF_net-ech_node1-N80_edge1-none,8.72753,2.50247,8.70284,1.72589,0.0,0.0,0.2458,0.142419274,0.0,0.2458,0.0,0.142419,0.0,3629.39,
MOF_net-ecj_node1-N77_edge1-none,4.32214,3.72451,4.3201,1.7725,0.0,0.0,0.02,0.011283498,0.0,0.02,0.0,0.0112835,0.0,151.571,
MOF_net-ecn_node1-N9_edge1-none,5.11793,4.40142,4.52198,1.76276,195.648,110.99,0.054,0.030633779,0.054,0.0,0.0306338,0.0,326.531,0.0,
MOF_net-ecv_node1-N80_edge1-none,4.52494,2.50299,4.50522,1.86114,0.0,0.0,0.0829,0.044542592,0.0,0.0829,0.0,0.0445426,0.0,756.745,
MOF_net-ecv_node1-N9_edge1-none,5.87692,4.59008,5.87468,1.24573,1563.35,1254.97,0.3321,0.266590674,0.3321,0.0,0.266592,0.0,5051.82,0.0,
MOF_net-eea_node1-N43_node2-orgN8_edge1-none,6.57036,5.11043,6.57036,1.78768,719.926,402.714,0.2246,0.125637698,0.1884,0.0362,0.105388,0.0202497,2021.36,388.392,
MOF_net-eea_node1-N43_node2-orgN9_edge1-none,7.15013,4.51962,7.15013,1.55,694.645,448.159,0.2432,0.156903226,0.1643,0.0789,0.106,0.0509033,1966.49,944.348,
MOF_net-eea_node1-N45_node2-orgN8_edge1-none,6.56596,5.15916,6.56596,1.79519,714.337,397.917,0.2236,0.124555061,0.1886,0.035,0.105058,0.0194965,2020.3,374.922,
MOF_net-eea_node1-N45_node2-orgN9_edge1-none,7.15474,4.53895,7.15474,1.55557,698.657,449.133,0.243,0.156212835,0.164,0.079,0.105428,0.0507854,1961.15,944.702,
MOF_net-eea_node1-N47_node2-orgN9_edge1-none,7.1847,4.59534,7.1847,1.52424,717.465,470.705,0.2508,0.164541017,0.1705,0.0803,0.111859,0.0526821,2057.52,969.024,
MOF_net-fcu_node1-N1_edge1-none,7.45698,3.28511,7.45698,1.2025,0.0,0.0,0.2067,0.171891892,0.0,0.2067,0.0,0.171892,0.0,2585.29,
MOF_net-fcu_node1-N27_edge1-E10,9.49895,3.80575,8.78185,1.55213,840.76,541.682,0.3534,0.227687114,0.2721,0.0813,0.175307,0.0523796,2776.94,829.716,
MOF_net-fcu_node1-N27_edge1-E3,11.66387,3.63366,11.66387,1.32675,0.0,0.0,0.4168,0.314151121,0.0,0.4168,0.0,0.314151,0.0,4224.35,
MOF_net-fcu_node1-N27_edge1-none,5.99308,2.63946,5.99306,2.74737,0.0,0.0,0.1593,0.057982725,0.0,0.1593,0.0,0.0579827,0.0,603.839,
MOF_net-fcu_node1-N2_edge1-E2,7.51076,3.53787,7.51076,1.46209,0.0,0.0,0.2478,0.169483411,0.0,0.2478,0.0,0.169484,0.0,2260.95,
MOF_net-fcu_node1-N2_edge1-E3,11.04585,3.2619,11.03243,1.24132,0.0,0.0,0.3905,0.314584475,0.0,0.3905,0.0,0.314583,0.0,3468.66,
MOF_net-fcu_node1-N3_edge1-E3,7.39401,3.22079,7.39401,1.25506,0.0,0.0,0.2074,0.165251064,0.0,0.2074,0.0,0.165252,0.0,1362.63,
MOF_net-fcu_node1-N3_edge1-E7,9.14909,3.42651,8.94913,0.917992,0.0,0.0,0.2692,0.293248743,0.0,0.2692,0.0,0.293249,0.0,3963.14,
MOF_net-fcu_node1-N72_edge1-none,6.83853,1.92502,6.83634,2.02389,0.0,0.0,0.2734,0.135086393,0.0,0.2734,0.0,0.135086,0.0,1004.27,
MOF_net-fcu_node1-N7_edge1-none,5.31149,2.25642,5.31149,3.73257,0.0,0.0,0.1269,0.033998023,0.0,0.1269,0.0,0.033998,0.0,390.001,
MOF_net-fcu_node1-N8_edge1-E10,9.03308,3.79011,9.02981,1.63012,1095.68,672.146,0.3324,0.203911368,0.3324,0.0,0.203911,0.0,3297.53,0.0,
MOF_net-fcu_node1-N8_edge1-E2,8.22587,4.08931,8.22302,1.59191,1022.64,642.398,0.2831,0.177836687,0.277,0.0061,0.174005,0.00383187,2800.06,61.662,
MOF_net-fcu_node1-N8_edge1-E3,11.49918,3.55145,11.48101,1.39878,0.0,0.0,0.4074,0.291253807,0.0,0.4074,0.0,0.291254,0.0,4012.84,
MOF_net-fno_node1-N86_edge1-none,8.00877,3.75662,8.00877,1.05048,819.647,780.261,0.2023,0.192578631,0.1788,0.0235,0.170208,0.0223708,4872.95,640.46,
MOF_net-fnq_node1-N0_edge1-none,9.28805,7.24683,9.28805,0.90397,1879.12,2078.74,0.5108,0.565063,0.5108,0.0,0.565063,0.0,7162.86,0.0,
MOF_net-fnu_node1-N0_edge1-none,3.48495,2.65403,3.48495,1.4556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-fnu_node1-N85_edge1-none,4.8863,3.69932,4.39001,1.10948,0.0,0.0,0.2038,0.183689656,0.0,0.2038,0.0,0.183689,0.0,657.363,
MOF_net-fnu_node1-N86_edge1-none,4.20701,3.29568,3.7748,1.10307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-fnz_node1-N0_edge1-none,9.31359,5.72029,9.31359,1.35087,707.089,523.432,0.2357,0.17448015,0.2193,0.0164,0.16234,0.0121403,1371.9,102.596,
MOF_net-ftw_node1-N24_node2-N27_edge1-none,8.04493,3.72864,7.95414,1.62967,0.0,0.0,0.3145,0.192983856,0.0,0.3145,0.0,0.192984,0.0,777.108,
MOF_net-ftw_node1-N24_node2-N72_edge1-none,8.0609,3.90212,7.76423,1.35064,1126.92,834.36,0.3835,0.283939466,0.3835,0.0,0.283939,0.0,931.844,0.0,
MOF_net-ftw_node1-N27_node2-orgN10_edge1-none,7.68275,4.19782,6.35649,1.5348,1122.54,731.388,0.343,0.223481887,0.343,0.0,0.223482,0.0,764.653,0.0,
MOF_net-ftw_node1-N27_node2-orgN15_edge1-none,8.74884,3.91023,8.66707,1.52449,1318.49,864.875,0.422,0.276813885,0.422,0.0,0.276814,0.0,927.791,0.0,
MOF_net-ftw_node1-N27_node2-orgN1_edge1-none,11.16261,2.49263,11.16261,1.29443,0.0,0.0,0.2816,0.217547492,0.0,0.2816,0.0,0.217547,0.0,1236.89,
MOF_net-gar_node1-N10_node2-N70_edge1-none,8.46704,5.29408,8.46704,1.15086,1579.12,1372.13,0.3885,0.337573641,0.3885,0.0,0.337574,0.0,9606.28,0.0,
MOF_net-gar_node1-N29_node2-N43_edge1-none,6.05004,2.52422,5.97601,1.71099,0.0,0.0,0.1104,0.064524047,0.0,0.1104,0.0,0.0645242,0.0,2618.54,
MOF_net-gar_node1-N29_node2-N45_edge1-none,6.03746,2.51709,6.00415,1.71524,0.0,0.0,0.1102,0.064247569,0.0,0.1102,0.0,0.0642474,0.0,2613.02,
MOF_net-gar_node1-N29_node2-N48_edge1-none,5.96182,3.68366,5.62016,1.59877,0.0,0.0,0.1353,0.084627557,0.0,0.1353,0.0,0.0846274,0.0,3410.6,
MOF_net-gar_node1-N55_node2-N12_edge1-none,8.92215,6.07768,8.92215,1.19281,1672.33,1402.02,0.4233,0.354876301,0.4233,0.0,0.354877,0.0,10449.2,0.0,
MOF_net-gar_node1-N55_node2-N45_edge1-none,5.69174,2.20547,5.69174,1.68398,0.0,0.0,0.0897,0.053266666,0.0,0.0897,0.0,0.0532665,0.0,2061.49,
MOF_net-gar_node1-N55_node2-N46_edge1-none,5.73857,3.2195,5.73857,1.57102,0.0,0.0,0.1084,0.068999758,0.0,0.1084,0.0,0.069,0.0,2670.4,
MOF_net-gar_node1-N73_node2-N33_edge1-none,9.89824,6.58146,9.89824,1.16427,1911.15,1641.49,0.4991,0.428680632,0.4991,0.0,0.428679,0.0,15050.7,0.0,
MOF_net-gar_node1-N78_node2-N48_edge1-none,6.0413,3.07752,5.14761,1.6971,0.0,0.0,0.1206,0.071062401,0.0,0.1206,0.0,0.0710624,0.0,2909.12,
MOF_net-ghw_node1-N0_edge1-none,2.53183,1.03475,1.84728,2.63188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-ghw_node1-N85_edge1-none,2.98733,1.82959,2.91816,1.63474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-ghw_node1-N86_edge1-E10,7.24628,4.50296,6.50704,0.85145,1793.04,2105.87,0.4079,0.479065124,0.4079,0.0,0.479065,0.0,8904.35,0.0,
MOF_net-gis_node1-N42_edge1-none,9.07583,4.41705,8.82228,1.29119,1308.25,1013.21,0.3577,0.277031266,0.3554,0.0023,0.27525,0.0017813,3408.76,22.06,
MOF_net-gsi_node1-N4_edge1-none,4.34886,2.49501,4.33967,1.7917,0.0,0.0,0.0014,0.000781381,0.0,0.0014,0.0,0.00078138,0.0,13.0023,
MOF_net-hcp_node1-N27_edge1-E10,6.01996,3.54258,5.57996,1.70136,0.0,0.0,0.2153,0.126545822,0.0,0.2153,0.0,0.126546,0.0,1002.27,
MOF_net-hcp_node1-N27_edge1-none,3.96011,2.16876,3.82398,3.01192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-hcp_node1-N72_edge1-E10,6.44954,3.28438,6.44954,1.40614,0.0,0.0,0.2002,0.142375581,0.0,0.2002,0.0,0.142376,0.0,915.515,
MOF_net-hcp_node1-N72_edge1-none,5.77126,1.79514,3.10637,2.1971,0.0,0.0,0.0985,0.044831824,0.0,0.0985,0.0,0.0448318,0.0,166.646,
MOF_net-hcp_node1-N7_edge1-none,3.77919,1.84053,3.77915,4.06759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-hcp_node1-N8_edge1-E10,6.28034,3.33912,6.26627,1.78701,0.0,0.0,0.199,0.111359198,0.0,0.199,0.0,0.111359,0.0,900.415,
MOF_net-hex_node1-N22_edge1-none,4.26695,3.30687,4.22838,1.59599,0.0,0.0,0.2088,0.130827887,0.0,0.2088,0.0,0.130828,0.0,135.087,
MOF_net-hex_node1-N25_edge1-none,3.86507,3.0399,3.85742,1.67487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-hex_node1-N5_edge1-none,2.55299,1.82128,2.49351,2.08616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-hex_node1-N77_edge1-none,2.81931,1.7633,2.76856,1.74676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-hex_node1-N80_edge1-none,4.2082,3.33639,4.2058,1.77674,0.0,0.0,0.1786,0.100521179,0.0,0.1786,0.0,0.100521,0.0,106.736,
MOF_net-hex_node1-N84_edge1-none,4.40069,3.03899,4.39764,1.59661,0.0,0.0,0.1965,0.123073261,0.0,0.1965,0.0,0.123073,0.0,149.614,
MOF_net-hex_node1-N9_edge1-none,3.67624,2.98236,3.67329,1.58344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-hjm_node1-N29_edge1-E2,5.07434,2.82353,5.07434,1.42291,0.0,0.0,0.1164,0.08180419,0.0,0.1164,0.0,0.0818045,0.0,607.668,
MOF_net-hjm_node1-N29_edge1-E3,4.79831,3.12088,4.79831,1.16794,0.0,0.0,0.1125,0.096323441,0.0,0.1125,0.0,0.0963235,0.0,566.923,
MOF_net-hjm_node1-N42_edge1-E10,4.23459,2.60674,4.18993,1.73935,0.0,0.0,0.0104,0.005979245,0.0,0.0104,0.0,0.00597923,0.0,58.6541,
MOF_net-hjm_node1-N4_edge1-E10,4.41187,1.72313,4.41187,1.82377,0.0,0.0,0.004,0.002193259,0.0,0.004,0.0,0.00219326,0.0,26.1823,
MOF_net-hjm_node1-N4_edge1-E6,5.76659,3.402,5.71477,1.17983,0.0,0.0,0.2489,0.210962596,0.0,0.2489,0.0,0.210962,0.0,2024.51,
MOF_net-hjm_node1-N4_edge1-E7,7.45353,4.39315,6.95204,0.857766,248.467,289.668,0.2699,0.314654579,0.0653,0.2046,0.076128,0.238527,1054.71,3304.65,
MOF_net-hjm_node1-N74_edge1-E10,5.21271,3.41279,4.62232,1.54879,0.0,0.0,0.0757,0.048876865,0.0,0.0757,0.0,0.0488769,0.0,437.089,
MOF_net-hjm_node1-N74_edge1-E2,5.81649,3.35322,5.78704,1.50126,0.0,0.0,0.1386,0.092322449,0.0,0.1386,0.0,0.0923222,0.0,820.71,
MOF_net-iac_node1-N18_node2-N49_edge1-none,6.19089,3.86206,6.19089,1.40622,941.842,669.771,0.2485,0.176714881,0.2485,0.0,0.176715,0.0,3651.94,0.0,
MOF_net-iac_node1-N55_node2-N39_edge1-none,6.35629,4.28356,6.29898,1.15054,636.407,553.137,0.2951,0.256488258,0.1452,0.1499,0.126201,0.130287,2649.48,2735.25,
MOF_net-ibd_node1-N18_node2-N61_edge1-none,4.38925,2.11354,4.38575,1.95764,0.0,0.0,0.0065,0.003320324,0.0,0.0065,0.0,0.00332032,0.0,75.4933,
MOF_net-ibd_node1-N29_node2-N19_edge1-none,3.98461,2.14661,3.98455,2.06086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-ibd_node1-N29_node2-N38_edge1-none,4.82531,2.51476,4.81311,1.91621,0.0,0.0,0.0457,0.023849161,0.0,0.0457,0.0,0.0238491,0.0,560.054,
MOF_net-ibd_node1-N55_node2-N19_edge1-none,3.37807,1.87442,3.37807,2.00403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-ibd_node1-N55_node2-N61_edge1-none,4.31662,2.42171,4.13537,1.76944,0.0,0.0,0.0045,0.002543178,0.0,0.0045,0.0,0.00254317,0.0,52.5048,
MOF_net-ibd_node1-N74_node2-N19_edge1-none,3.62163,1.85546,3.62156,2.50182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-ibd_node1-N74_node2-N38_edge1-none,4.80609,2.38117,4.8059,2.31339,0.0,0.0,0.0304,0.013140888,0.0,0.0304,0.0,0.0131409,0.0,366.199,
MOF_net-ict_node1-N18_edge1-none,5.2048,3.45816,5.18288,1.4495,0.0,0.0,0.1543,0.1064505,0.0,0.1543,0.0,0.106451,0.0,1870.26,
MOF_net-ict_node1-N4_edge1-none,4.35685,2.05088,4.34432,2.01834,0.0,0.0,0.0047,0.002328646,0.0,0.0047,0.0,0.00232864,0.0,87.1852,
MOF_net-ilc_node1-N25_edge1-E7,7.51576,4.76592,7.51576,0.932314,1326.74,1423.06,0.3379,0.362431541,0.334,0.0039,0.358248,0.00418314,2768.68,32.3288,
MOF_net-ilc_node1-N25_edge1-none,1.59507,0.70054,1.59507,3.17764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
MOF_net-ilc_node1-N34_edge1-E10,4.97478,3.1736,4.97478,1.55516,0.0,0.0,0.1316,0.084621518,0.0,0.1316,0.0,0.0846213,0.0,532.332,
MOF_net-ilc_node1-N5_edge1-E0,7.69785,5.15241,7.30042,0.912266,1660.86,1820.58,0.459,0.503142724,0.459,0.0,0.503142,0.0,3439.1,0.0,
MOF_net-ilc_node1-N5_edge1-E7,6.96147,4.39442,6.91826,0.930642,1297.84,1394.57,0.3738,0.40165821,0.3738,0.0,0.401658,0.0,2873.83,0.0,
MOF_net-ilc_node1-N5_edge1-E8,7.04705,5.09771,7.04705,0.769191,2251.61,2927.24,0.5354,0.696055986,0.5354,0.0,0.696056,0.0,4202.01,0.0,
MOF_net-ilc_node1-N60_edge1-E0,7.48016,4.75775,7.48016,0.865379,1522.66,1759.52,0.3879,0.448242909,0.3879,0.0,0.448243,0.0,3336.43,0.0,
MOF_net-ilc_node1-N60_edge1-E10,5.30522,3.03935,5.30522,1.57645,0.0,0.0,0.1334,0.084620508,0.0,0.1334,0.0,0.0846208,0.0,535.263,
MOF_net-ilc_node1-N60_edge1-E4,7.65057,4.45488,7.56899,0.854664,1415.34,1656.01,0.3543,0.414548875,0.3447,0.0096,0.403316,0.0112325,3291.62,91.6725,
MOF_net-ilc_node1-N65_edge1-E0,6.0769,3.63969,6.0769,1.31655,0.0,0.0,0.2215,0.168242756,0.0,0.2215,0.0,0.168243,0.0,1316.49,
